Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.9777E-17,-2.4059E-18,0.013347,0,0,0,0.31733,0.00024261,-2.7113E-20,-1.2948E-21,0.00024261,-3.7462E-22,0.0004234,0,0,0,0,0,0,package://arm_bringup/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/base_link.STL,,底盘-1;支架-1;支架-5;支架-6;支架-7;DM_J4340-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_yaw_Link,-0.0020917,-0.0074065,0.032382,0,0,0,0.22637,0.00012786,5.2428E-06,4.8448E-06,0.00014439,1.7959E-05,0.00014668,0,0,0,0,0,0,package://arm_bringup/meshes/base_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/base_yaw_Link.STL,,1_2连接-1;DM_J4340-2,base_yaw_joint,base_yaw_roll,base_yaw_joint,revolute,1.6999E-05,-2.2768E-05,0.058,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
upper_arm_link,-0.15294,0.02387,3.1919E-16,0,0,0,0.24808,0.00012398,0.00014142,-4.2389E-19,0.00059792,1.1275E-19,0.00061661,0,0,0,0,0,0,package://arm_bringup/meshes/upper_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/upper_arm_link.STL,,2_3连接-1;DM_J4340-3,shoulder_pitch_joint,shoulder_pitch_roll,shoulder_pitch_joint,revolute,0.0080913,0.029425,0.0395,0,0,0,base_yaw_Link,0.26585,0.96402,0,0,0,0,0,,,,,,,,
forearm_link,0.14778,-0.023186,0.050608,0,0,0,0.2587,0.00018496,0.00015479,-0.00013355,0.0007044,3.7085E-05,0.00066978,0,0,0,0,0,0,package://arm_bringup/meshes/forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/forearm_link.STL,,3_4连接-1;DM_J4340-4,elbow_pitch_joint,elbow_pitch_roll,elbow_pitch_joint,revolute,-0.21008,-0.0094917,0,0,0,0,upper_arm_link,0.26585,0.96402,0,0,0,0,0,,,,,,,,
wrist_link,0.020287,-0.022165,-0.010354,0,0,0,0.047454,3.1605E-05,1.4022E-05,7.6127E-06,3.1295E-05,-6.8135E-06,4.173E-05,0,0,0,0,0,0,package://arm_bringup/meshes/wrist_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/wrist_link.STL,,4_吸盘连接-1,wrist_pitch_joint,wrist_pitch_roll,wrist_pitch_joint,revolute,0.21061,0.01142,0.057,0,0,0,forearm_link,-0.26585,-0.96402,0,0,0,0,0,,,,,,,,
end_effector_fixed_joint,-0.041409,0.011419,-0.017913,0,0,0,0.32249,0.00079154,4.3451E-05,1.2755E-05,0.00093712,-3.5174E-06,0.0016677,0,0,0,0,0,0,package://arm_bringup/meshes/end_effector_fixed_joint.STL,1,1,1,1,0,0,0,0,0,0,package://arm_bringup/meshes/end_effector_fixed_joint.STL,,吸盘-1,end_effector_link,,end_effector_link,fixed,0.16309,-0.080763,-0.016359,0,0,0,wrist_link,0,0,0,,,,,,,,,,,,
